point_id,region_code,aip_cycle,ident,point_type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,associated_airport,frequency_khz,dme_frequency_khz,dme_channel,usage_type,power,source_system,source_file
US-2605-airport-OR01,US,2605,OR01,airport,Temperance Creek USFS Airport,45.534184,-116.535173,1330,US,OR01,,,,,,OurAirports,airports.csv
US-2605-airport-OR02,US,2605,OR02,airport,River Run Ranch Airport,44.33719,-120.99472,2600,US,OR02,,,,,,OurAirports,airports.csv
US-2605-airport-OR03,US,2605,OR03,airport,Redtail Ranch Airstrip,45.064722,-117.661578,3400,US,OR03,,,,,,OurAirports,airports.csv
US-2605-airport-OR04,US,2605,OR04,airport,Kennel Airstrip,44.029598236083984,-121.16500091552734,3595,US,OR04,,,,,,OurAirports,airports.csv
US-2605-airport-OR05,US,2605,OR05,airport,Flying M Airport,45.362098693847656,-123.35600280761719,448,US,OR05,,,,,,OurAirports,airports.csv
US-2605-airport-OR06,US,2605,OR06,airport,Snider Creek Airport,42.53900146484375,-122.9229965209961,1430,US,OR06,,,,,,OurAirports,airports.csv
US-2605-airport-OR07,US,2605,OR07,airport,Weddle Field,44.762402,-119.101878,3823,US,OR07,,,,,,OurAirports,airports.csv
US-2605-airport-OR08,US,2605,OR08,airport,Barton Lake Ranch Airport,43.128492,-118.67701,4159,US,OR08,,,,,,OurAirports,airports.csv
US-2605-airport-OR09,US,2605,OR09,airport,Whitehorse Ranch Airport,42.335601806640625,-118.25800323486328,4447,US,OR09,,,,,,OurAirports,airports.csv
US-2605-airport-OR10,US,2605,OR10,airport,Roaring Springs Ranch Airport,42.646272,-118.992748,4576,US,OR10,,,,,,OurAirports,airports.csv
US-2605-airport-OR11,US,2605,OR11,airport,Jensens Strip,44.91162,-117.9582,3350,US,OR11,,,,,,OurAirports,airports.csv
US-2605-airport-OR12,US,2605,OR12,airport,Oxbow Airport,45.00429916381836,-116.8489990234375,1806,US,OR12,,,,,,OurAirports,airports.csv
US-2605-airport-OR13,US,2605,OR13,airport,Wiley Creek Airport,44.502474,-119.371133,4130,US,OR13,,,,,,OurAirports,airports.csv
US-2605-airport-OR14,US,2605,OR14,airport,Juntura Airport,43.737248,-118.070458,3034,US,OR14,,,,,,OurAirports,airports.csv
US-2605-airport-OR15,US,2605,OR15,airport,Horseman Heliport,44.14680099487305,-121.37100219726562,3420,US,OR15,,,,,,OurAirports,airports.csv
US-2605-airport-OR16,US,2605,OR16,airport,Black Bull Spring Ranch Airport,43.096787,-118.150132,4114,US,OR16,,,,,,OurAirports,airports.csv
US-2605-airport-OR17,US,2605,OR17,airport,Oxbow Ranch Airport,44.41067,-118.691225,3972,US,OR17,,,,,,OurAirports,airports.csv
US-2605-airport-OR18,US,2605,OR18,airport,Davis Heliport,45.774087,-118.559845,1550,US,OR18,,,,,,OurAirports,airports.csv
US-2605-airport-OR20,US,2605,OR20,airport,Hemmingson Airport,44.658199310302734,-123.14299774169922,250,US,OR20,,,,,,OurAirports,airports.csv
US-2605-airport-OR21,US,2605,OR21,airport,Miller Airstrip,44.59320068359375,-122.98999786376953,279,US,OR21,,,,,,OurAirports,airports.csv
US-2605-airport-OR22,US,2605,OR22,airport,Roppair Airport,44.619300842285156,-123.03199768066406,247,US,OR22,,,,,,OurAirports,airports.csv
US-2605-airport-OR23,US,2605,OR23,airport,Karpens Airport,46.161399841308594,-123.63999938964844,125,US,OR23,,,,,,OurAirports,airports.csv
