Arpt_ICAO	Procedure Type	Procedure Ident
7S0	SID	HANIM2
7S0	SID	RONAN3
7S6	SIAP	R01
7S6	SIAP	R19
7V7	SIAP	R16
7V7	SIAP	R34
7W4	SIAP	R08
7W4	SIAP	R26
7W5	SIAP	R28
7W6	SIAP	R11
80F	SIAP	R18
80F	SIAP	R36
81B	SIAP	R15
81B	SIAP	R33
81R	SIAP	R13
81R	SIAP	R31
82C	SIAP	R14
82C	SIAP	R32
82V	SIAP	R08
82V	SIAP	R26
83D	SIAP	R07
83D	SIAP	R25
84D	SIAP	R13
84D	SIAP	R31
84R	SIAP	R17
84R	SIAP	R35
87I	SIAP	R17
87I	SIAP	R35
87N	SIAP	R190
87Y	SIAP	VOR-A
8A1	SIAP	R07
8A1	SIAP	R25
8A3	SIAP	R03
8A3	SIAP	R21
8A7	SIAP	R09
8B0	SIAP	R14
8B0	SIAP	R32
8B0	SIAP	RNV-D
8C4	SIAP	R11
8D1	SIAP	R14
8D1	SIAP	R32
8D3	SIAP	R16
8D3	SIAP	R34
8D4	SIAP	R07
8D4	SIAP	R25
8D7	SIAP	R13
8D7	SIAP	R31
8F3	SIAP	R17
8F3	SIAP	R35
8G1	SIAP	RNV-A
8G2	SIAP	R14
8G2	SIAP	R32
8G6	SIAP	R13
8G6	SIAP	R31
8K2	SIAP	RNV-A
8M1	SIAP	R15
8M1	SIAP	R33
8N8	SIAP	R09
8N8	SIAP	R27
8S1	SIAP	R18
8S1	SIAP	R36
8S1	SID	ANGIL1
8T6	SIAP	R13
8V2	SIAP	R11
8V2	SIAP	R29
8V3	SIAP	R15
8V3	SIAP	R33
8V7	SIAP	R17
8W2	SIAP	RNV-A
8W2	SIAP	RNV-B
8WC	SIAP	R02
8WC	SIAP	R20
91C	SIAP	R18
91C	SIAP	R36
93C	SIAP	RNV-A
93Y	SIAP	R14
93Y	SIAP	R32
94K	SIAP	R09
94K	SIAP	R27
96D	SIAP	R33
97M	SIAP	R13
97M	SIAP	R31
98D	SIAP	R13
98D	SIAP	R31
99N	SIAP	R05
99N	SIAP	R23
9A4	SIAP	R13
9A4	SIAP	R31
9A5	SIAP	R02
9A5	SIAP	R20
9D0	SIAP	R13
9D0	SIAP	R31
9D1	SIAP	R13
9D1	SIAP	R31
9D4	SIAP	R19
9D7	SIAP	R16
9D7	SIAP	R34
9D9	SIAP	R12
9D9	SIAP	R30
9D9	SIAP	S12
9G0	SIAP	R06
9G0	SIAP	R24
9G2	SIAP	R09
9G2	SIAP	R27
9G3	SIAP	R07
9G3	SIAP	R25
9G6	SIAP	RNV-B
9G8	SIAP	R07
9G8	SIAP	R25
9K7	SIAP	R17
9K7	SIAP	R35
9K8	SIAP	R18
9K8	SIAP	R36
9M8	SIAP	R01
9M8	SIAP	R19
9N3	SIAP	R04
9S2	SIAP	R12
9S9	SIAP	R08
9S9	SIAP	RNV-A
9V5	SIAP	R14
9V5	SIAP	R32
9V6	SIAP	R32
9V9	SIAP	R13
9V9	SIAP	R31
9Y1	SIAP	R13
9Y1	SIAP	R31
A08	SIAP	R16
A08	SIAP	R34
B16	SIAP	R10
B19	SIAP	R06
B21	SIAP	RNV-A
C03	SIAP	RNV-A
C04	SIAP	R09
C04	SIAP	R27
C09	SIAP	R18
C09	SIAP	R36
C15	SIAP	R09
C15	SIAP	R27
C16	SIAP	VOR-A
C17	SIAP	R17
C17	SIAP	R35
C20	SIAP	R13
C20	SIAP	R31
C25	SIAP	R11
C25	SIAP	R29
C29	SIAP	R10
C29	SIAP	R28
C29	SIAP	S28
C35	SIAP	R18
C35	SIAP	R36
C47	SIAP	R18
C56	SIAP	R09
C56	SIAP	R27
C62	SIAP	R10
C62	SIAP	R28
C65	SIAP	R10
C65	SIAP	R28
C66	SIAP	RNV-A
C73	SIAP	R08
C73	SIAP	R26
C75	SIAP	R13
C77	SIAP	RNV-A
C80	SIAP	R30
C80	SID	AVE1
C81	SIAP	RNV-B
C83	SIAP	R30
C91	SIAP	R09
C91	SIAP	R27
CA35	STAR	REBAS1
CA35	STAR	VNYRD1
CYQG	STAR	AUTTO1
CYQG	STAR	FOREY2
CYQG	STAR	PETTE2
CYQG	STAR	RRALF3
CYXX	STAR	MADEE6
CZBB	STAR	MADEE6
D00	SIAP	R33
D05	SIAP	R13
D05	SIAP	R31
D09	SIAP	R13
D09	SIAP	R31
D14	SIAP	R14
D14	SIAP	R32
D25	SIAP	R14
D25	SIAP	R32
D37	SIAP	R30
D39	SIAP	R14
D39	SIAP	R32
D42	SIAP	R13
D42	SIAP	R31
D50	SIAP	R31
D50	SIAP	RNV-A
D55	SIAP	R14
D55	SIAP	R32
D57	SIAP	R29
D60	SIAP	R12
D60	SIAP	R30
D73	SIAP	R03
D73	STAR	BUKHD3
D73	STAR	DEHAN3
D73	STAR	SWTEE2
D73	STAR	WRGNZ3
D95	SIAP	R18
D95	SIAP	R36
D95	SIAP	VOR-A
D98	SIAP	R18
D98	SIAP	R36
E01	SIAP	R12
E01	SIAP	R30
E06	SIAP	R03
E06	SIAP	R21
E11	SIAP	R16
E16	SIAP	R32
E19	SIAP	R02
E19	SIAP	R20
E30	SIAP	R17
E30	SIAP	R35
E38	SIAP	R19
E38	SIAP	R23
E38	SID	ODKAE1
E41	SIAP	R16
E42	SIAP	R02
E42	SIAP	R20
E45	SIAP	P27
E45	SIAP	R09
F00	SIAP	D17
F00	SIAP	R17
F00	SIAP	R35
F05	SIAP	R02
F05	SIAP	R20
F10	SIAP	R36
F17	SIAP	R17
F17	SIAP	R35
F22	SIAP	R17
F22	SIAP	R35
F34	SIAP	RNV-B
F35	SIAP	R02
F35	SIAP	R20
F41	SIAP	VDM-A
F41	SID	BOTCH2
F41	SID	GARL6
F41	SID	KING5
F41	SID	KUSSO3
F41	SID	NANDR4
F41	STAR	FINGR1
F41	STAR	GREGS1
F41	STAR	HERBZ2
F41	STAR	JFRYE5
F41	STAR	SLANT3
F41	STAR	SWVAY4
F44	SIAP	R18
F44	SIAP	R36
F45	SIAP	I09R
F45	SIAP	L09R
F45	SIAP	R09R
F45	SIAP	R14
F45	SIAP	R27L
F45	STAR	CLMNT2
F45	STAR	JESTR1
F45	STAR	TTYLR4
F45	STAR	VUUDU1
F46	SIAP	R17
F46	SIAP	R35
F46	SID	BOTCH2
F46	SID	GARL6
F46	SID	JPOOL8
F46	SID	KING5
F46	SID	KUSSO3
